path,filename,class
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Neural Message Passing for Quantum Chemistry.md,Neural Message Passing for Quantum Chemistry,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Understanding the RoPE Extensions of Long-Context LLMs.md,Understanding the RoPE Extensions of Long-Context LLMs,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Deep Residual Learning for Image Recognition.md,Deep Residual Learning for Image Recognition,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/ScatterFormer- Efficient Voxel Transformer with Scattered Linear Attention.md,ScatterFormer- Efficient Voxel Transformer with Scattered Linear Attention,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/LIFT- Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection.md,LIFT- Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/OneFormer3D- One Transformer for Unified Point Cloud Segmentation (OneFormer3D).md,OneFormer3D- One Transformer for Unified Point Cloud Segmentation (OneFormer3D),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point mask transformer for outdoor point cloud semantic segmentation (PMFormer).md,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/OccWorld- Learning a 3D Occupancy World Model for Autonomous Driving.md,OccWorld- Learning a 3D Occupancy World Model for Autonomous Driving,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Transformer based 3D tooth segmentation via point cloud region partition (PointRegion).md,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/ViViT- A Video Vision Transformer.md,ViViT- A Video Vision Transformer,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/A 2D nGPT Model For Arc Prize.md,A 2D nGPT Model For Arc Prize,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/BWFormer- Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer).md,BWFormer- Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Swin Transformer- Hierarchical Vision Transformer using Shifted Windows.md,Swin Transformer- Hierarchical Vision Transformer using Shifted Windows,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/POS-BERT- Point cloud one-stage BERT pre-training.md,POS-BERT- Point cloud one-stage BERT pre-training,2
"/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point Transformer V3- Simpler, Faster, Stronger.md","Point Transformer V3- Simpler, Faster, Stronger",2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/TransFusion- Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers.md,TransFusion- Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/SparseVoxFormer- Sparse Voxel-based Transformer for Multi-modal 3D Object Detection.md,SparseVoxFormer- Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/LVSM- A Large View Synthesis Model with Minimal 3D Inductive Bias.md,LVSM- A Large View Synthesis Model with Minimal 3D Inductive Bias,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Relation3D- Enhancing Relation Modeling for Point Cloud Instance Segmentation.md,Relation3D- Enhancing Relation Modeling for Point Cloud Instance Segmentation,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/LLFormer4D- LiDAR-based lane detection method.md,LLFormer4D- LiDAR-based lane detection method,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab).md,Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Generative Pretraining from Pixels (iGPT).md,Generative Pretraining from Pixels (iGPT),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Transformer-based Point Cloud Generation Network.md,Transformer-based Point Cloud Generation Network,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point Transformer (PT).md,Point Transformer (PT),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Voxel self-attention and center-point for 3D object detector.md,Voxel self-attention and center-point for 3D object detector,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr).md,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Mask4D- End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences.md,Mask4D- End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/PanSt3R- Multi-view Consistent Panoptic Segmentation.md,PanSt3R- Multi-view Consistent Panoptic Segmentation,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D).md,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D),2
